Name,Alcoholic,Type,Taste
Heineken,Alcoholic,Beer,
Corona Extra,Alcoholic,Beer,
Coors Light,Alcoholic,Beer,
Guinness Draught,Alcoholic,Beer,
Stella Artois,Alcoholic,Beer,
Modelo Especial,Alcoholic,Beer,
Blue Moon Belgian White,Alcoholic,Beer,
Dos Equis,Alcoholic,Beer,
Pilsner Urquell,Alcoholic,Beer,
Sierra Nevada Pale Ale,Alcoholic,Beer,
Samuel Adams Boston Lager,Alcoholic,Beer,
Chimay Blue,Alcoholic,Beer,
Hoegaarden,Alcoholic,Beer,
Sapporo Premium Beer,Alcoholic,Beer,
Newcastle Brown Ale,Alcoholic,Beer,
Lagunitas IPA,Alcoholic,Beer,
Paulaner Hefe-Weißbier,Alcoholic,Beer,
Brooklyn Lager,Alcoholic,Beer,
Duvel,Alcoholic,Beer,
Goose Island IPA,Alcoholic,Beer,
Peroni Nastro Azzurro,Alcoholic,Beer,
Leffe Blonde,Alcoholic,Beer,
Erdinger Weissbier,Alcoholic,Beer,
Franziskaner Weissbier,Alcoholic,Beer,
Asahi Super Dry,Alcoholic,Beer,
Red Stripe,Alcoholic,Beer,
Modelo Negra,Alcoholic,Beer,
Yuengling Lager,Alcoholic,Beer,
Tiger Beer,Alcoholic,Beer,
Fat Tire Amber Ale,Alcoholic,Beer,
Anchor Steam Beer,Alcoholic,Beer,
Grolsch Premium Lager,Alcoholic,Beer,
Bitburger Premium Pils,Alcoholic,Beer,
Kona Big Wave Golden Ale,Alcoholic,Beer,
Smithwick's Irish Ale,Alcoholic,Beer,
Hacker-Pschorr Weisse,Alcoholic,Beer,
Warsteiner Premium Verum,Alcoholic,Beer,
Fuller's London Pride,Alcoholic,Beer,
Harp Lager,Alcoholic,Beer,
Murphy's Irish Stout,Alcoholic,Beer,
Founders All Day IPA,Alcoholic,Beer,
Carlsberg,Alcoholic,Beer,
Beck's,Alcoholic,Beer,
Weihenstephaner Hefeweissbier,Alcoholic,Beer,
Innis & Gunn Original,Alcoholic,Beer,
Guinness Foreign Extra Stout,Alcoholic,Beer,
Spaten München,Alcoholic,Beer,
Franziskaner Hefe-Weissbier Naturtrüb,Alcoholic,Beer,
Warsteiner Premium Dunkel,Alcoholic,Beer,
Modelo Chelada,Alcoholic,Beer,
Carlsberg Elephant,Alcoholic,Beer,
Leinenkugel's Summer Shandy,Alcoholic,Beer,
Tsingtao Beer,Alcoholic,Beer,
Shiner Bock,Alcoholic,Beer,
Negra Modelo,Alcoholic,Beer,
Amstel Light,Alcoholic,Beer,
New Belgium Fat Tire Amber Ale,Alcoholic,Beer,
Ballast Point Sculpin IPA,Alcoholic,Beer,
Leffe Brune,Alcoholic,Beer,
Dos Equis Amber Lager,Alcoholic,Beer,
Stella Artois Cidre,Alcoholic,Beer,
Magic Hat #9,Alcoholic,Beer,
Stone IPA,Alcoholic,Beer,
Odell 90 Shilling Ale,Alcoholic,Beer,
Innis & Gunn Rum Aged,Alcoholic,Beer,
Smithwick's Red Ale,Alcoholic,Beer,
Guinness Blonde American Lager,Alcoholic,Beer,
Krombacher Pils,Alcoholic,Beer,
Kronenbourg 1664 Blanc,Alcoholic,Beer,
Warsteiner Premium Fresh,Alcoholic,Beer,
Franziskaner Hefe-Weißbier Dunkel,Alcoholic,Beer,
Budweiser,Alcoholic,Beer,
Modelo Especial,Alcoholic,Beer,
Guinness Nitro IPA,Alcoholic,Beer,
Spaten Optimator,Alcoholic,Beer,
Pabst Blue Ribbon,Alcoholic,Beer,
Pacifico Clara,Alcoholic,Beer,
Heineken Light,Alcoholic,Beer,
Mojito,Alcoholic,Cocktail,Sweet
Piña Colada,Alcoholic,Cocktail,Sweet
Strawberry Daiquiri,Alcoholic,Cocktail,Sweet
Mai Tai,Alcoholic,Cocktail,Sweet
Mudslide,Alcoholic,Cocktail,Sweet
Amaretto Sour,Alcoholic,Cocktail,Sweet
Fuzzy Navel,Alcoholic,Cocktail,Sweet
Sex on the Beach,Alcoholic,Cocktail,Sweet
White Russian,Alcoholic,Cocktail,Sweet
Long Island Iced Tea,Alcoholic,Cocktail,Sweet
Mai Tai,Alcoholic,Cocktail,Sweet
Appletini,Alcoholic,Cocktail,Sweet
Blue Hawaiian,Alcoholic,Cocktail,Sweet
Grasshopper,Alcoholic,Cocktail,Sweet
Brandy Alexander,Alcoholic,Cocktail,Sweet
Bahama Mama,Alcoholic,Cocktail,Sweet
Cosmopolitan,Alcoholic,Cocktail,Sweet
Tom Collins,Alcoholic,Cocktail,Sweet
Whiskey Sour,Alcoholic,Cocktail,Sweet
French Martini,Alcoholic,Cocktail,Sweet
Pink Lady,Alcoholic,Cocktail,Sweet
Velvet Hammer,Alcoholic,Cocktail,Sweet
Alabama Slammer,Alcoholic,Cocktail,Sweet
Godiva Chocolate Martini,Alcoholic,Cocktail,Sweet
Hurricane,Alcoholic,Cocktail,Sweet
Kamikaze,Alcoholic,Cocktail,Sweet
Lemon Drop Martini,Alcoholic,Cocktail,Sweet
Midori Sour,Alcoholic,Cocktail,Sweet
Peach Bellini,Alcoholic,Cocktail,Sweet
Sangria,Alcoholic,Cocktail,Sweet
Screwdriver,Alcoholic,Cocktail,Sweet
Tequila Sunrise,Alcoholic,Cocktail,Sweet
Woo Woo,Alcoholic,Cocktail,Sweet
Black Russian,Alcoholic,Cocktail,Sweet
Blue Lagoon,Alcoholic,Cocktail,Sweet
Buttery Nipple,Alcoholic,Cocktail,Sweet
Chocolate Martini,Alcoholic,Cocktail,Sweet
Frozen Margarita,Alcoholic,Cocktail,Sweet
Harvey Wallbanger,Alcoholic,Cocktail,Sweet
Irish Coffee,Alcoholic,Cocktail,Sweet
Kahlua and Cream,Alcoholic,Cocktail,Sweet
Lava Flow,Alcoholic,Cocktail,Sweet
Nutty Irishman,Alcoholic,Cocktail,Sweet
Painkiller,Alcoholic,Cocktail,Sweet
Pineapple Upside-Down Cake Martini,Alcoholic,Cocktail,Sweet
Salty Dog,Alcoholic,Cocktail,Sweet
Sea Breeze,Alcoholic,Cocktail,Sweet
White Russian,Alcoholic,Cocktail,Sweet
Zombie,Alcoholic,Cocktail,Sweet
French 75,Alcoholic,Cocktail,Sweet
Margarita,Alcoholic,Cocktail,Sour
Daiquiri,Alcoholic,Cocktail,Sour
Whiskey Sour,Alcoholic,Cocktail,Sour
Sidecar,Alcoholic,Cocktail,Sour
Sour Apple Martini,Alcoholic,Cocktail,Sour
Pisco Sour,Alcoholic,Cocktail,Sour
Lemon Drop Martini,Alcoholic,Cocktail,Sour
Caipirinha,Alcoholic,Cocktail,Sour
Paloma,Alcoholic,Cocktail,Sour
Gimlet,Alcoholic,Cocktail,Sour
Moscow Mule,Alcoholic,Cocktail,Sour
Corpse Reviver,Alcoholic,Cocktail,Sour
French 75,Alcoholic,Cocktail,Sour
Tom Collins,Alcoholic,Cocktail,Sour
Bee's Knees,Alcoholic,Cocktail,Sour
Between the Sheets,Alcoholic,Cocktail,Sour
Blue Margarita,Alcoholic,Cocktail,Sour
Bourbon Sour,Alcoholic,Cocktail,Sour
Cable Car,Alcoholic,Cocktail,Sour
Clover Club,Alcoholic,Cocktail,Sour
Cosmopolitan,Alcoholic,Cocktail,Sour
El Diablo,Alcoholic,Cocktail,Sour
Hemingway Daiquiri,Alcoholic,Cocktail,Sour
Kentucky Mule,Alcoholic,Cocktail,Sour
Last Word,Alcoholic,Cocktail,Sour
Mamie Taylor,Alcoholic,Cocktail,Sour
New York Sour,Alcoholic,Cocktail,Sour
Paper Plane,Alcoholic,Cocktail,Sour
Pisco Sour,Alcoholic,Cocktail,Sour
Revolver,Alcoholic,Cocktail,Sour
Southside,Alcoholic,Cocktail,Sour
Ward 8,Alcoholic,Cocktail,Sour
Whiskey Smash,Alcoholic,Cocktail,Sour
Aviation,Alcoholic,Cocktail,Sour
Blood and Sand,Alcoholic,Cocktail,Sour
Bramble,Alcoholic,Cocktail,Sour
Corpse Reviver #2,Alcoholic,Cocktail,Sour
Daiquiri,Alcoholic,Cocktail,Sour
Gin Fizz,Alcoholic,Cocktail,Sour
Jack Rose,Alcoholic,Cocktail,Sour
Key Lime Pie Martini,Alcoholic,Cocktail,Sour
Lemon Drop Martini,Alcoholic,Cocktail,Sour
Margarita,Alcoholic,Cocktail,Sour
Paloma,Alcoholic,Cocktail,Sour
Pisco Sour,Alcoholic,Cocktail,Sour
Sazerac,Alcoholic,Cocktail,Sour
Sidecar,Alcoholic,Cocktail,Sour
Tom Collins,Alcoholic,Cocktail,Sour
Whiskey Sour,Alcoholic,Cocktail,Sour
White Lady,Alcoholic,Cocktail,Sour
Chardonnay,Alcoholic,White Wine,
Sauvignon Blanc,Alcoholic,White Wine,
Pinot Grigio,Alcoholic,White Wine,
Riesling,Alcoholic,White Wine,
Moscato,Alcoholic,White Wine,
Viognier,Alcoholic,White Wine,
Gewürztraminer,Alcoholic,White Wine,
Chenin Blanc,Alcoholic,White Wine,
Albariño,Alcoholic,White Wine,
Gruner Veltliner,Alcoholic,White Wine,
Vermentino,Alcoholic,White Wine,
Semillon,Alcoholic,White Wine,
Torrontés,Alcoholic,White Wine,
Garganega,Alcoholic,White Wine,
Trebbiano,Alcoholic,White Wine,
Verdicchio,Alcoholic,White Wine,
Pinot Blanc,Alcoholic,White Wine,
Muscadet,Alcoholic,White Wine,
Falanghina,Alcoholic,White Wine,
Orvieto,Alcoholic,White Wine,
Fiano,Alcoholic,White Wine,
Marsanne,Alcoholic,White Wine,
Picpoul Blanc,Alcoholic,White Wine,
Soave,Alcoholic,White Wine,
Verdelho,Alcoholic,White Wine,
Assyrtiko,Alcoholic,White Wine,
Palomino,Alcoholic,White Wine,
Cortese,Alcoholic,White Wine,
Colombard,Alcoholic,White Wine,
Verdejo,Alcoholic,White Wine,
Macabeo,Alcoholic,White Wine,
Pinot Bianco,Alcoholic,White Wine,
Melon de Bourgogne,Alcoholic,White Wine,
Sauvignon Blanc-Semillon,Alcoholic,White Wine,
Tocai Friulano,Alcoholic,White Wine,
Ugni Blanc,Alcoholic,White Wine,
Airen,Alcoholic,White Wine,
Pinot Gris,Alcoholic,White Wine,
Treixadura,Alcoholic,White Wine,
Müller-Thurgau,Alcoholic,White Wine,
Roussanne,Alcoholic,White Wine,
Xarel-lo,Alcoholic,White Wine,
Clairette,Alcoholic,White Wine,
Jacquère,Alcoholic,White Wine,
Glera,Alcoholic,White Wine,
Insolia,Alcoholic,White Wine,
Clairette Blanche,Alcoholic,White Wine,
Mauzac,Alcoholic,White Wine,
Palomino Fino,Alcoholic,White Wine,
Listán Blanco,Alcoholic,White Wine,
Savagnin,Alcoholic,White Wine,
Petit Manseng,Alcoholic,White Wine,
Folle Blanche,Alcoholic,White Wine,
Malmsey,Alcoholic,White Wine,
Bergerac Blanc,Alcoholic,White Wine,
Catarratto,Alcoholic,White Wine,
Colombard-Ugni Blanc,Alcoholic,White Wine,
Pedro Ximénez,Alcoholic,White Wine,
Hárslevelü,Alcoholic,White Wine,
Gouveio,Alcoholic,White Wine,
Rkatsiteli,Alcoholic,White Wine,
Verduzzo,Alcoholic,White Wine,
Savatiano,Alcoholic,White Wine,
Morio-Muskat,Alcoholic,White Wine,
Pedro Giménez,Alcoholic,White Wine,
Hondarrabi Zuri,Alcoholic,White Wine,
Loureira,Alcoholic,White Wine,
Vidal Blanc,Alcoholic,White Wine,
Seyval Blanc,Alcoholic,White Wine,
